station_name,line,fact,place_name,place_type,place_description,walking_minutes
Курская,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы Г. Захаров и З. Чернышева. Пилоны украшены красным гранитом и мрамором. Названа по Курскому вокзалу.,МХТ им. Чехова,Театр,Легендарный Московский Художественный театр. Сцена на Чистых прудах.,14
Курская,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы Г. Захаров и З. Чернышева. Пилоны украшены красным гранитом и мрамором. Названа по Курскому вокзалу.,Театр «Современник»,Театр,Знаменитая сцена на Чистопрудном бульваре. Основан Олегом Ефремовым.,13
Киевская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы Е. Катонин, В. Катонин и другие. Оформление посвящено дружбе России и Украины. Мозаичные панно, роскошные люстры.,Киевский вокзал,Транспортный узел,Отсюда отправляются поезда и аэроэкспрессы в аэропорт Внуково.,1
Киевская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы Е. Катонин, В. Катонин и другие. Оформление посвящено дружбе России и Украины. Мозаичные панно, роскошные люстры.,Площадь Европы,Достопримечательность,Знаменитый фонтанный комплекс «Похищение Европы». Одно из любимых мест для встреч и фотосессий.,2
Киевская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы Е. Катонин, В. Катонин и другие. Оформление посвящено дружбе России и Украины. Мозаичные панно, роскошные люстры.,Бородинская панорама,Музей,Музей-панорама «Бородинская битва». Огромное полотно и диорама сражения 1812 года.,8
Киевская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы Е. Катонин, В. Катонин и другие. Оформление посвящено дружбе России и Украины. Мозаичные панно, роскошные люстры.,Музей «Кутузовская изба»,Музей,Исторический музей, посвящённый военному совету в Филях. Рядом с панорамой.,10
Киевская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы Е. Катонин, В. Катонин и другие. Оформление посвящено дружбе России и Украины. Мозаичные панно, роскошные люстры.,ТРЦ «Европейский»,ТЦ,Огромный ТЦ прямо над станцией. Кинотеатр, рестораны, магазины, каток зимой.,1
Киевская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы Е. Катонин, В. Катонин и другие. Оформление посвящено дружбе России и Украины. Мозаичные панно, роскошные люстры.,Набережная Тараса Шевченко,Улица/Набережная,Прогулка вдоль Москвы-реки с видом на гостиницу «Украина» (одна из сталинских высоток).,5
Краснопресненская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы В. Егерев и другие. Станция посвящена революции 1905-1907 годов. Мозаика и красные тона.,Московский зоопарк,Зоопарк,Один из старейших зоопарков Европы. Более 1000 видов животных. Вход рядом с выходом из метро.,8
Краснопресненская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы В. Егерев и другие. Станция посвящена революции 1905-1907 годов. Мозаика и красные тона.,Планетарий,Музей/Культура,Московский планетарий — один из крупнейших в мире. Полнокупольные шоу и обсерватория.,10
Краснопресненская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы В. Егерев и другие. Станция посвящена революции 1905-1907 годов. Мозаика и красные тона.,Башня 2000 (Москва-Сити),Панорама,Пешеходный мост Багратион. Вид на Москву-Сити и набережную.,12
Краснопресненская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы В. Егерев и другие. Станция посвящена революции 1905-1907 годов. Мозаика и красные тона.,Красная Пресня (музей революции),Музей,Музей «Красная Пресня» — филиал Музея современной истории России.,5
Краснопресненская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы В. Егерев и другие. Станция посвящена революции 1905-1907 годов. Мозаика и красные тона.,Улица Большая Грузинская,Улица,Одна из красивых московских улиц. Много ресторанов кавказской кухни.,3
Краснопресненская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы В. Егерев и другие. Станция посвящена революции 1905-1907 годов. Мозаика и красные тона.,Аквариум «Москвариум»,Океанариум,Часть ВДНХ, но близко к метро. Шоу с касатками и дельфинами.,14
Краснопресненская,Кольцевая линия,Открыта 14 марта 1954 года. Архитекторы В. Егерев и другие. Станция посвящена революции 1905-1907 годов. Мозаика и красные тона.,Кафе «АндерСон»,Кафе,Семейное кафе с детской комнатой и необычными десертами.,6
Парк культуры,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы И. Рожин и Г. Сукоян. Пилоны декорированы лепниной на тему советского досуга пионеров и спортсменов.,Парк Горького,Парк,Главное место отдыха москвичей. Набережная, лекторий, огромные качели и катки зимой.,1
Парк культуры,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы И. Рожин и Г. Сукоян. Пилоны декорированы лепниной на тему советского досуга пионеров и спортсменов.,Нескучный сад,Парк,Старейший парк Москвы. Усадьба «Александрино», зелёные холмы и вид на реку.,5
Парк культуры,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы И. Рожин и Г. Сукоян. Пилоны декорированы лепниной на тему советского досуга пионеров и спортсменов.,Музей современного искусства «Гараж»,Музей,Современное искусство в здании ресторана советского времени. Лекции, выставки, кафе.,6
Парк культуры,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы И. Рожин и Г. Сукоян. Пилоны декорированы лепниной на тему советского досуга пионеров и спортсменов.,Крымский мост (пешеходный),Мост,Пешеходный вантовый мост через Москву-реку. Соединяет Парк Горького и Музеон.,4
Парк культуры,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы И. Рожин и Г. Сукоян. Пилоны декорированы лепниной на тему советского досуга пионеров и спортсменов.,Центральный Дом художника (ЦДХ),Выставочный зал,Здание Новой Третьяковки. Выставки современного искусства и ярмарки.,7
Октябрьская,Кольцевая линия,Открыта 5 января 1950 года. Архитектор Л. Поляков. Оформлена с использованием красного мрамора и керамических панно с революционной символикой.,Новая Третьяковка,Музей,Крупнейшее собрание русского искусства XX века и современного. Авангард и соцарт.,12
Октябрьская,Кольцевая линия,Открыта 5 января 1950 года. Архитектор Л. Поляков. Оформлена с использованием красного мрамора и керамических панно с революционной символикой.,Калужская площадь (фонтан «Мальчик с рыбой»),Памятник/Фонтан,Изящный фонтан высотой 8.5 метров. Популярное место для встреч.,4
Октябрьская,Кольцевая линия,Открыта 5 января 1950 года. Архитектор Л. Поляков. Оформлена с использованием красного мрамора и керамических панно с революционной символикой.,Парк искусств «Музеон»,Парк,Сад скульптур. Бюсты советских вождей и современные инсталляции.,10
Октябрьская,Кольцевая линия,Открыта 5 января 1950 года. Архитектор Л. Поляков. Оформлена с использованием красного мрамора и керамических панно с революционной символикой.,Ленинский проспект (начало),Улица,Главная магистраль Москвы. Архитектура сталинских высоток.,3
Октябрьская,Кольцевая линия,Открыта 5 января 1950 года. Архитектор Л. Поляков. Оформлена с использованием красного мрамора и керамических панно с революционной символикой.,Театр «Ленком Марка Захарова»,Театр,Легендарный театр на Малой Дмитровке (ближе к Чеховской, но пешком 14 мин).,14
Таганская,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы К. Рыжков и А. Медведев. Сине-голубая керамика и панно «Слава труду». Названа по Таганской площади.,Театр на Таганке,Театр,Легендарный театр Владимира Высоцкого и Юрия Любимова. Музей Высоцкого рядом.,4
Таганская,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы К. Рыжков и А. Медведев. Сине-голубая керамика и панно «Слава труду». Названа по Таганской площади.,Музей Высоцкого,Музей,Государственный музей Владимира Высоцкого. Фотографии, личные вещи, гитара.,3
Таганская,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы К. Рыжков и А. Медведев. Сине-голубая керамика и панно «Слава труду». Названа по Таганской площади.,Таганский парк,Парк,Небольшой уютный парк с фонтаном и катком. Был реконструирован в 2018 году.,2
Таганская,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы К. Рыжков и А. Медведев. Сине-голубая керамика и панно «Слава труду». Названа по Таганской площади.,Бункер-42 (на Таганке),Музей,Музей холодной войны. Секретный бункер связи на глубине 65 метров.,10
Таганская,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы К. Рыжков и А. Медведев. Сине-голубая керамика и панно «Слава труду». Названа по Таганской площади.,Памятник Высоцкому,Памятник,Памятник на Страстном бульваре (ближе к Пушкинской, но популярен).,15
Павелецкая,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы С. Каринский и В. Каринская. Мрамор и пилоны с изображениями зданий. Названа по Павелецкому вокзалу.,Павелецкий вокзал,Транспортный узел,Отсюда отправляются аэроэкспрессы в аэропорт Домодедово.,2
Павелецкая,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы С. Каринский и В. Каринская. Мрамор и пилоны с изображениями зданий. Названа по Павелецкому вокзалу.,Шлюзовая набережная,Набережная,Прогулка вдоль Водоотводного канала. Красивый вид на Кремль и парк Зарядье.,7
Павелецкая,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы С. Каринский и В. Каринская. Мрамор и пилоны с изображениями зданий. Названа по Павелецкому вокзалу.,Парк «Садовники»,Парк,Спокойный парк с прудами и утками. Хорош для неспешных прогулок.,12
Павелецкая,Кольцевая линия,Открыта 1 января 1950 года. Архитекторы С. Каринский и В. Каринская. Мрамор и пилоны с изображениями зданий. Названа по Павелецкому вокзалу.,Клуб «16 тонн»,Кафе/Клуб,Легендарное музыкальное место. Ресторан и живая музыка вечером.,8
Достоевская,Кольцевая линия,Открыта в 2010 году (последняя на Кольцевой). Архитекторы: Л. Попов, С. Костиков. Оформление в чёрно-белых тонах со сценами из романов Достоевского.,Театр «Современник»,Театр,Легендарный театр Галины Волчек и Олега Ефремова. Билеты раскупают за месяц.,3
Достоевская,Кольцевая линия,Открыта в 2010 году (последняя на Кольцевой). Архитекторы: Л. Попов, С. Костиков. Оформление в чёрно-белых тонах со сценами из романов Достоевского.,Цветной бульвар,Улица,Один из старейших бульваров Москвы. Магазины, кафе, цирк.,5
Достоевская,Кольцевая линия,Открыта в 2010 году (последняя на Кольцевой). Архитекторы: Л. Попов, С. Костиков. Оформление в чёрно-белых тонах со сценами из романов Достоевского.,Московский цирк Никулина,Цирк,Знаменитый цирк на Цветном бульваре. Старейший стационарный цирк России.,6
Достоевская,Кольцевая линия,Открыта в 2010 году (последняя на Кольцевой). Архитекторы: Л. Попов, С. Костиков. Оформление в чёрно-белых тонах со сценами из романов Достоевского.,Фонтан «Достоевский»,Памятник/Фонтан,Необычная стела с цитатами из романов писателя. Подсветка в суровых тонах.,1
Достоевская,Кольцевая линия,Открыта в 2010 году (последняя на Кольцевой). Архитекторы: Л. Попов, С. Костиков. Оформление в чёрно-белых тонах со сценами из романов Достоевского.,Храм Святителя Николая в Новой Слободе,Храм,Красивый православный храм в неорусском стиле. Ближе к станции Новослободская.,8
Бульвар Рокоссовского,Сокольническая линия,Открыта в 1990 году. Названа в честь маршала К.К. Рокоссовского. Архитекторы Л.Л. Борзенков и др..Аллея героев-панфиловцев,Парк/Мемориал,Мемориальная аллея в память о героях Великой Отечественной войны в районе метро.,5
Бульвар Рокоссовского,Сокольническая линия,Открыта в 1990 году. Названа в честь маршала К.К. Рокоссовского. Архитекторы Л.Л. Борзенков и др.,Главная аллея парка «Сокольники» (восточный вход),Парк,Вход в огромный парк Сокольники. Отсюда можно уйти в лесопарковую зону.,7
Бульвар Рокоссовского,Сокольническая линия,Открыта в 1990 году. Названа в честь маршала К.К. Рокоссовского. Архитекторы Л.Л. Борзенков и др.,ТЦ «Бульвар»,ТЦ,Торговый центр рядом с метро. Магазины и фуд-корт.,3
Черкизовская,Сокольническая линия,Открыта в 1990 году. Название от бывшего села Черкизово. Архитекторы В.А. Черёмин и А.Л. Вигдоров.,Черкизовский пруд,Парк,Большой пруд с утками и зона для прогулок. Летом лодочная станция.,4
Черкизовская,Сокольническая линия,Открыта в 1990 году. Название от бывшего села Черкизово. Архитекторы В.А. Черёмин и А.Л. Вигдоров.,Стадион «Локомотив» (РЖД Арена),Стадион,Домашний стадион футбольного клуба Локомотив. Есть музей клуба.,8
Черкизовская,Сокольническая линия,Открыта в 1990 году. Название от бывшего села Черкизово. Архитекторы В.А. Черёмин и А.Л. Вигдоров.,ТЦ «Город»,ТЦ,Огромный торговый комплекс с кинотеатром и ресторанами.,2
Преображенская площадь,Сокольническая линия,Открыта в 1965 году. Название от Преображенского полка и площади. Архитекторы Н.И. Демчинский и Л.М. Павлов.,Преображенский собор,Храм,Храм Преображения Господня в стиле раннего классицизма. Святыня XVII века.,6
Преображенская площадь,Сокольническая линия,Открыта в 1965 году. Название от Преображенского полка и площади. Архитекторы Н.И. Демчинский и Л.М. Павлов.,Преображенский рынок,Рынок,Один из старейших рынков Москвы. Фермерские продукты и восточные сладости.,3
Преображенская площадь,Сокольническая линия,Открыта в 1965 году. Название от Преображенского полка и площади. Архитекторы Н.И. Демчинский и Л.М. Павлов.,Парк «Преображенское»,Парк,Небольшой парк у Яузы с детской площадкой и воркаутом.,5
Сокольники,Сокольническая линия,Открыта 15 мая 1935 года — одна из первых станций метро. Архитекторы И.Г. Таранов и Н.А. Быкова. Названа по парку «Сокольники».,Парк «Сокольники»,Парк,Огромная зеленая зона для отдыха. Лыжероллерная трасса, контактный зоопарк, лодочная станция.,2
Сокольники,Сокольническая линия,Открыта 15 мая 1935 года — одна из первых станций метро. Архитекторы И.Г. Таранов и Н.А. Быкова. Названа по парку «Сокольники».,Дворец спорта «Сокольники»,Спорткомплекс,Крытая ледовая арена и место для концертов и выставок.,6
Сокольники,Сокольническая линия,Открыта 15 мая 1935 года — одна из первых станций метро. Архитекторы И.Г. Таранов и Н.А. Быкова. Названа по парку «Сокольники».,Фонтан «Мальчик с рыбой» (у главного входа),Памятник/Фонтан,Знаменитый фонтан в парке. Место встреч и фотосессий.,4
Сокольники,Сокольническая линия,Открыта 15 мая 1935 года — одна из первых станций метро. Архитекторы И.Г. Таранов и Н.А. Быкова. Названа по парку «Сокольники».,Культурный центр «Сокольники»,Выставочный центр,Выставочный центр с постоянными ярмарками и событиями.,7
Красносельская,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Архитекторы Б.С. Виленский и В.А. Ершов. Названа по Красному Селу.,Красносельский пруд,Парк,Небольшой пруд с фонтаном. Уютное место для отдыха в центре.,4
Красносельская,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Архитекторы Б.С. Виленский и В.А. Ершов. Названа по Красному Селу.,Вернисаж в Измайлово,Рынок,Блошиный рынок и ярмарка ремесел. Сувениры и старинные вещи.,12
Красносельская,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Архитекторы Б.С. Виленский и В.А. Ершов. Названа по Красному Селу.,Аптека №1 (историческое здание),Достопримечательность,Старинное здание в стиле модерн. Внутри музей.,5
Комсомольская,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Архитектор Д.Н. Чечулин. Названа в честь комсомола.,Казанский вокзал,Транспортный узел,Один из трех вокзалов Комсомольской площади.,2
Комсомольская,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Архитектор Д.Н. Чечулин. Названа в честь комсомола.,Ленинградский вокзал,Транспортный узел,Архитектурный памятник. Поезда в Санкт-Петербург.,3
Комсомольская,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Архитектор Д.Н. Чечулин. Названа в честь комсомола.,Ярославский вокзал,Транспортный узел,Сказочный фасад. Конечная Транссиба.,5
Комсомольская,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Архитектор Д.Н. Чечулин. Названа в честь комсомола.,Музей истории Московского метро,Музей,Экскурсия в историю. Находится в вестибюле станции.,1
Красные Ворота,Сокольническая линия,Открыта 15 мая 1935 года. Архитектор И.А. Фомин. Названа по Красным воротам (снесены в 1927).,Красные ворота (памятный знак),Памятник,Место, где стояла триумфальная арка XVIII века. Остался только знак.,2
Красные Ворота,Сокольническая линия,Открыта 15 мая 1935 года. Архитектор И.А. Фомин. Названа по Красным воротам (снесены в 1927).,Садовое кольцо (пересечение с Каланчёвской),Улица,Крупный транспортный узел. Архитектура сталинского времени.,1
Красные Ворота,Сокольническая линия,Открыта 15 мая 1935 года. Архитектор И.А. Фомин. Названа по Красным воротам (снесены в 1927).,МФЮА (университет),Учебное заведение,Знаменитое здание в стиле конструктивизма.,5
Красные Ворота,Сокольническая линия,Открыта 15 мая 1935 года. Архитектор И.А. Фомин. Названа по Красным воротам (снесены в 1927).,Сквер у Красных ворот,Парк,Небольшой сквер с фонтаном. Летом работает киоск с мороженым.,2
Чистые пруды,Сокольническая линия,Открыта 15 мая 1935 года. Архитекторы Н.Я. Колли и Л.М. Поляков. Названа по Чистопрудному бульвару.,Чистопрудный бульвар,Улица/Парк,Один из красивейших бульваров Москвы. Пруд с утками, кафе, памятник Грибоедову.,1
Чистые пруды,Сокольническая линия,Открыта 15 мая 1935 года. Архитекторы Н.Я. Колли и Л.М. Поляков. Названа по Чистопрудному бульвару.,МХТ им. Чехова,Театр,Легендарный Московский Художественный театр. Сцена на Чистых прудах.,6
Чистые пруды,Сокольническая линия,Открыта 15 мая 1935 года. Архитекторы Н.Я. Колли и Л.М. Поляков. Названа по Чистопрудному бульвару.,Театр «Современник»,Театр,Известный театр на Чистопрудном бульваре. Основан Олегом Ефремовым.,5
Чистые пруды,Сокольническая линия,Открыта 15 мая 1935 года. Архитекторы Н.Я. Колли и Л.М. Поляков. Названа по Чистопрудному бульвару.,Фонтан на Чистопрудном,Фонтан,Красивый светомузыкальный фонтан в центре пруда.,2
Чистые пруды,Сокольническая линия,Открыта 15 мая 1935 года. Архитекторы Н.Я. Колли и Л.М. Поляков. Названа по Чистопрудному бульвару.,Кафе «Хлеб и Соль»,Кафе,Уютная пекарня с отличными круассанами и кофе.,4
Лубянка,Сокольническая линия,Открыта 15 мая 1935 года. Изначально «Дзержинская». Архитекторы Н.А. Ладовский и др.,Центральный детский магазин (ЦДМ),ТЦ/Музей,Культовое место советских детей. Музей детства, механические часы, панорама.,3
Лубянка,Сокольническая линия,Открыта 15 мая 1935 года. Изначально «Дзержинская». Архитекторы Н.А. Ладовский и др.,Памятник Ф.Э. Дзержинскому,Памятник,Возвращён в 2023 году на Лубянскую площадь. Исторический жест.,1
Лубянка,Сокольническая линия,Открыта 15 мая 1935 года. Изначально «Дзержинская». Архитекторы Н.А. Ладовский и др.,Никольская улица,Улица,Пешеходная улица. Рестораны, магазины, атмосфера старой Москвы.,6
Лубянка,Сокольническая линия,Открыта 15 мая 1935 года. Изначально «Дзержинская». Архитекторы Н.А. Ладовский и др.,Театр Et Cetera,Театр,Театр п/р Александра Калягина. Современная драма.,8
Охотный Ряд,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Название от Охотного ряда (торговля дичью).,Красная площадь,Достопримечательность,Главная площадь страны. Собор Василия Блаженного, ГУМ, Мавзолей.,8
Охотный Ряд,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Название от Охотного ряда (торговля дичью).,ГУМ (Главный универсальный магазин),ТЦ/Достопримечательность,Знаменитый универмаг на Красной площади. Фонтаны, кафе, выставки.,7
Охотный Ряд,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Название от Охотного ряда (торговля дичью).,Большой театр,Театр,Главный театр России. Балет и опера. Историческое здание.,5
Охотный Ряд,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Название от Охотного ряда (торговля дичью).,Площадь Революции,Площадь,Скульптуры. У выхода к Кремлю и Александровскому саду.,4
Охотный Ряд,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Название от Охотного ряда (торговля дичью).,Воскресенские ворота,Памятник,Двойные ворота Китай-города. Пешеходный путь к Красной площади.,9
Охотный Ряд,Сокольническая линия,Открыта 15 мая 1935 года. Одна из первых станций. Название от Охотного ряда (торговля дичью).,Музей ВОВ на Поклонной горе (туда лучше на такси),Музей,Но отсюда можно доехать. Сам музей — 12 мин на такси.,15 (транспорт)
Библиотека им. Ленина,Сокольническая линия,Открыта 15 мая 1935 года. Архитекторы А.В. Щусев и В.Г. Гельфрейх. Названа по РГБ.,Российская государственная библиотека (Ленинка),Библиотека,Крупнейшая библиотека России. Экскурсии в книгохранилище.,2
Библиотека им. Ленина,Сокольническая линия,Открыта 15 мая 1935 года. Архитекторы А.В. Щусев и В.Г. Гельфрейх. Названа по РГБ.,Александровский сад,Парк,Идеальное место для прогулки у стен Кремля. Могила Неизвестного Солдата.,3
Библиотека им. Ленина,Сокольническая линия,Открыта 15 мая 1935 года. Архитекторы А.В. Щусев и В.Г. Гельфрейх. Названа по РГБ.,Манежная площадь,Площадь,Фонтаны и скульптуры. Подземный музей «Зарядье» недалеко.,4
Библиотека им. Ленина,Сокольническая линия,Открыта 15 мая 1935 года. Архитекторы А.В. Щусев и В.Г. Гельфрейх. Названа по РГБ.,Мавзолей Ленина,Памятник/Музей,Открыт в определённые часы. Историческая достопримечательность.,7
Библиотека им. Ленина,Сокольническая линия,Открыта 15 мая 1935 года. Архитекторы А.В. Щусев и В.Г. Гельфрейх. Названа по РГБ.,Охотный ряд (ТЦ под землей),ТЦ,Подземный ТЦ под Манежной площадью. Еда, магазины, фонтаны.,5
Кропоткинская,Сокольническая линия,Открыта 15 мая 1935 года. Архитектор А.Н. Душкин. Колонны-связки в стиле египетских храмов.,Храм Христа Спасителя,Храм,Главный кафедральный собор. Восстановлен в 2000-х. Набережная.,3
Кропоткинская,Сокольническая линия,Открыта 15 мая 1935 года. Архитектор А.Н. Душкин. Колонны-связки в стиле египетских храмов.,Музей изобразительных искусств им. Пушкина (ГМИИ),Музей,Крупнейший музей зарубежного искусства. Египет, Греция, импрессионисты.,5
Кропоткинская,Сокольническая линия,Открыта 15 мая 1935 года. Архитектор А.Н. Душкин. Колонны-связки в стиле египетских храмов.,Пречистенка,Улица,Улица старинной архитектуры. Особняки, музеи, посольства.,2
Кропоткинская,Сокольническая линия,Открыта 15 мая 1935 года. Архитектор А.Н. Душкин. Колонны-связки в стиле египетских храмов.,Парк Горького (вход в сторону Нескучного сада),Парк,Через реку по Патриаршему мосту — вход в Парк Горького.,8
Кропоткинская,Сокольническая линия,Открыта 15 мая 1935 года. Архитектор А.Н. Душкин. Колонны-связки в стиле египетских храмов.,Музей-квартира А.С. Пушкина,Музей,Мемориальный музей Пушкина на Арбате. Ближе к Смоленской.,12
